interval_months,interval_years,p_fail_before_next,p_missed_fail_before_next,expected_cost,meets_risk_limit,cost_rate_per_year
3,0.25,0.0,0.0,5000000.0,True,20000000.0
6,0.5,0.0,0.0,5000000.0,True,10000000.0
9,0.75,0.0,0.0,5000000.0,True,6666666.666666667
12,1.0,0.0,0.0,5000000.0,True,5000000.0
15,1.25,0.0,0.0,5000000.0,True,4000000.0
18,1.5,0.0,0.0,5000000.0,True,3333333.3333333335
21,1.75,0.0,0.0,5000000.0,True,2857142.8571428573
24,2.0,0.0,0.0,5000000.0,True,2500000.0
27,2.25,0.0,0.0,5000000.0,True,2222222.222222222
30,2.5,0.0,0.0,5000000.0,True,2000000.0
33,2.75,0.0,0.0,5000000.0,True,1818181.8181818181
36,3.0,0.0,0.0,5000000.0,True,1666666.6666666667
39,3.25,0.0,0.0,5000000.0,True,1538461.5384615385
42,3.5,5e-05,0.0,5000000.0,True,1428571.4285714286
45,3.75,0.0005,0.0002,5100000.0,True,1360000.0
48,4.0,0.0033,0.00095,5475000.0,True,1368750.0
51,4.25,0.0146,0.00215,6075000.0,False,1429411.7647058824
54,4.5,0.04965,0.0076,8800000.0,False,1955555.5555555555
57,4.75,0.12675,0.01785,13925000.0,False,2931578.9473684207
60,5.0,0.25715,0.03815,24075000.0,False,4815000.0
63,5.25,0.42805,0.0624,36200000.0,False,6895238.095238095
66,5.5,0.60175,0.08925,49625000.0,False,9022727.272727272
69,5.75,0.7522,0.11405,62025000.0,False,10786956.52173913
72,6.0,0.8624,0.1308,70400000.0,False,11733333.333333334
75,6.25,0.9302,0.1385,74250000.0,False,11880000.0
77,6.416666666666667,0.9566,0.14485,77425000.0,False,12066233.766233765
80,6.666666666666667,0.98045,0.14615,78075000.0,False,11711250.0
