event,time_years,true_thickness_mm,measured_thickness_mm,meas_std_mm,posterior_mean_r,interval_chosen_months,reason,detected_hazard,failure_occurred_before_inspection,missed_detection,cost_added,total_cost
inspection,0.0,12.0,11.926442669706423,0.2,0.8005964400973482,,initial,,,,0.0,0.0
inspection,0.25,11.86182008439674,12.0,0.2,0.8005964400973482,3.0,unknown,False,False,False,5000000.0,5000000.0
inspection,0.5,11.723640168793482,11.609997005840906,0.2,0.7297237840250574,3.0,unknown,False,False,False,5000000.0,10000000.0
inspection,0.75,11.585460253190222,11.289878259021021,0.2,0.7423745958573356,3.0,unknown,False,False,False,5000000.0,15000000.0
inspection,1.0,11.447280337586962,11.632548082866869,0.2,0.8182132733416551,3.0,unknown,False,False,False,5000000.0,20000000.0
inspection,1.25,11.309100421983704,11.31143630527973,0.2,0.6389841180926155,3.0,unknown,False,False,False,5000000.0,25000000.0
inspection,1.5,11.170920506380444,11.216787300772143,0.2,0.6052113647099444,3.0,unknown,False,False,False,5000000.0,30000000.0
inspection,1.75,11.032740590777184,11.301372549765974,0.2,0.5756726016894294,3.0,unknown,False,False,False,5000000.0,35000000.0
inspection,2.0,10.894560675173926,10.84963567933773,0.2,0.5181220899998492,3.0,unknown,True,False,False,5000000.0,40000000.0
inspection,2.25,10.756380759570666,10.939955284341686,0.2,0.5351676673953039,3.0,unknown,False,False,False,5000000.0,45000000.0
inspection,2.5,10.618200843967408,10.720433777582038,0.2,0.517599006999286,3.0,unknown,False,False,False,5000000.0,50000000.0
inspection,2.75,10.480020928364148,10.523475430860302,0.2,0.5161384974273548,3.0,unknown,False,False,False,5000000.0,55000000.0
inspection,3.0,10.341841012760888,10.20757365405415,0.2,0.5210089508084117,3.0,unknown,False,False,False,5000000.0,60000000.0
inspection,3.25,10.203661097157628,10.166125621473558,0.2,0.5376864857790126,3.0,unknown,False,False,False,5000000.0,65000000.0
inspection,3.5,10.06548118155437,9.594827144874865,0.2,0.5431040387030417,3.0,unknown,False,False,False,5000000.0,70000000.0
inspection,3.75,9.92730126595111,9.80043665918294,0.2,0.5706500652931195,3.0,unknown,False,False,False,5000000.0,75000000.0
inspection,4.0,9.789121350347852,9.490519811292907,0.2,0.57351154449557,3.0,unknown,False,False,False,5000000.0,80000000.0
inspection,4.25,9.650941434744592,9.589527418305702,0.2,0.5826653159306586,3.0,unknown,False,False,False,5000000.0,85000000.0
inspection,4.5,9.512761519141332,9.437209819079584,0.2,0.5801708635183083,3.0,unknown,False,False,False,5000000.0,90000000.0
inspection,4.75,9.374581603538072,9.190426724650843,0.2,0.5785408137109896,3.0,unknown,False,False,False,5000000.0,95000000.0
inspection,5.0,9.236401687934814,9.27278195522778,0.2,0.5804254438987411,3.0,unknown,False,False,False,5000000.0,100000000.0
inspection,5.25,9.098221772331554,9.104530469882839,0.2,0.5755672605606446,3.0,unknown,False,False,False,5000000.0,105000000.0
inspection,5.5,8.960041856728296,9.203947818484115,0.2,0.5723739588488134,3.0,unknown,False,False,False,5000000.0,110000000.0
inspection,5.75,8.821861941125036,8.848252606039342,0.2,0.5642334988227893,3.0,unknown,False,False,False,5000000.0,115000000.0
inspection,6.0,8.683682025521776,8.259180708677516,0.2,0.5622680422184306,3.0,unknown,False,False,False,5000000.0,120000000.0
inspection,6.25,8.545502109918516,8.211139910568184,0.2,0.5694473775766093,3.0,unknown,False,False,False,5000000.0,125000000.0
inspection,6.5,8.407322194315258,8.491807994415684,0.2,0.5735992116358011,3.0,unknown,False,False,False,5000000.0,130000000.0
inspection,6.75,8.269142278711998,8.090643844481956,0.2,0.569912170322789,3.0,unknown,True,False,False,5000000.0,135000000.0
inspection,7.0,8.13096236310874,7.947692962537903,0.2,0.5708839656253485,3.0,unknown,False,False,False,5000000.0,140000000.0
inspection,7.25,7.99278244750548,8.118693038111426,0.2,0.5716976844048636,3.0,unknown,False,False,False,5000000.0,145000000.0
inspection,7.5,7.854602531902221,7.407774258024154,0.2,0.5681290576056828,3.0,unknown,False,False,False,5000000.0,150000000.0
inspection,7.75,7.716422616298961,7.910146432506483,0.2,0.5723287331756617,3.0,unknown,False,False,False,5000000.0,155000000.0
inspection,8.0,7.578242700695702,7.747692032536846,0.2,0.5682173689434347,3.0,unknown,False,False,False,5000000.0,160000000.0
inspection,8.25,7.440062785092443,7.859076937872138,0.2,0.56493716119558,3.0,unknown,True,False,False,5000000.0,165000000.0
inspection,8.5,7.301882869489183,7.491353291278222,0.2,0.5594651609514578,3.0,unknown,True,False,False,5000000.0,170000000.0
inspection,8.75,7.163702953885924,7.2234851336254025,0.2,0.557014252922557,3.0,unknown,True,False,False,5000000.0,175000000.0
inspection,9.0,7.025523038282665,7.094978468006493,0.2,0.5561007033725707,3.0,unknown,True,False,False,5000000.0,180000000.0
inspection,9.25,6.887343122679405,6.902993491137977,0.2,0.555213727664035,3.0,unknown,True,True,False,5000000.0,185000000.0
inspection,9.5,6.749163207076146,6.586017616558513,0.2,0.5548878504021671,3.0,unknown,True,False,False,5000000.0,190000000.0
inspection,9.75,6.610983291472887,6.518604549713861,0.2,0.556026480547269,3.0,unknown,True,False,False,5000000.0,195000000.0
inspection,10.0,6.472803375869628,6.3853805335914835,0.2,0.5564829916796081,3.0,unknown,True,False,False,5000000.0,200000000.0
